usernum,stim,cond,adjtype,displaytype,version,audiofile,response,timestamp,order,selectedpos,images,phrase,native,type,stimnum,mturkid,time,cheater,selection,target,condcollapsed,target1,target1hasrel,target1hasabs,target2hasrel,target2hasabs
53,target-5,pos:rel-both:b,pos,both-rel,b,target-5-b-pos,4,Fri Aug 24 13:01:20 2018,2:4:3:1:5,1,man-big_fan:lady-med_fan:lady-small_fan:lady-med_fish:lady-small_fish,lady with the big [inaudible],,target,5,58646f13de1cea0001f79ccd,5,FALSE,target1,0,both-rel pos,0,0,0,0,0
53,target-10,cmp:rel-abs:b,cmp,abs-rel,b,target-10-b-cmp,2,Fri Aug 24 13:01:36 2018,1:4:5:2:3,4,lady-big_cheese:farmer-med_cheese:farmer-small_cheese:farmer-med_chair:lady-small_chair,farmer with the bigger [inaudible],,target,10,58646f13de1cea0001f79ccd,6,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
53,target-6,pos:abs-both:b,pos,abs-both,b,target-6-b-pos,4,Fri Aug 24 13:01:56 2018,4:2:1:3:5,3,man-big_doll:girl-med_dog:man-small_dog:girl-med_duck:girl-small_duck,girl with the big [inaudible],,target,6,58646f13de1cea0001f79ccd,4,FALSE,target2,1,abs-both pos,1,0,1,1,1
53,target-3,pos:abs-both:a,pos,abs-both,a,target-3-a-pos,2,Fri Aug 24 13:02:14 2018,3:2:5:4:1,2,bird-big_tower:cat-med_truck:bird-small_truck:cat-med_tree:cat-small_tree,cat in the big [inaudible],,target,3,58646f13de1cea0001f79ccd,9,FALSE,target1,0,abs-both pos,0,0,1,1,1
53,target-8,cmp:rel-both:a,cmp,both-rel,a,target-8-a-cmp,2,Fri Aug 24 13:02:26 2018,4:1:5:3:2,1,rabbit-big_can:bird-med_can:bird-small_can:bird-med_cup:bird-small_cup,bird in the bigger [inaudible],,target,8,58646f13de1cea0001f79ccd,4,FALSE,target2,1,both-rel cmp,1,0,0,0,0
53,target-7,cmp:rel-abs:a,cmp,abs-rel,a,target-7-a-cmp,2,Fri Aug 24 13:02:52 2018,2:3:1:5:4,3,girl-big_sock:man-med_sock:man-small_sock:man-med_scarf:girl-small_scarf,man with the bigger [inaudible],,target,7,58646f13de1cea0001f79ccd,5,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
53,target-4,pos:rel-abs:b,pos,abs-rel,b,target-4-b-pos,2,Fri Aug 24 13:03:08 2018,3:2:1:5:4,2,girl-big_pillow:boy-med_pillow:boy-small_pillow:boy-med_paintbrush:girl-small_paintbrush,boy with the big [inaudible],,target,4,58646f13de1cea0001f79ccd,6,FALSE,target2,1,abs-rel pos,1,0,1,1,0
54,target-10,cmp:rel-both:b,cmp,both-rel,b,target-10-b-cmp,2,Fri Aug 24 13:01:18 2018,5:2:1:3:4,2,lady-big_cheese:farmer-med_cheese:farmer-small_cheese:farmer-med_chair:farmer-small_chair,farmer with the bigger [inaudible],,target,10,585849a944177c0001aacf8e,7,FALSE,target2,1,both-rel cmp,1,0,0,0,0
54,target-9,cmp:rel-abs:b,cmp,abs-rel,b,target-9-b-cmp,2,Fri Aug 24 13:01:33 2018,2:4:1:3:5,4,frog-big_glue:monkey-med_glue:monkey-small_glue:monkey-med_grapes:frog-small_grapes,monkey with the bigger [inaudible],,target,9,585849a944177c0001aacf8e,4,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
54,target-7,cmp:rel-both:a,cmp,both-rel,a,target-7-a-cmp,4,Fri Aug 24 13:01:47 2018,2:4:1:5:3,5,girl-big_sock:man-med_sock:man-small_sock:man-med_scarf:man-small_scarf,man with the bigger [inaudible],,target,7,585849a944177c0001aacf8e,7,FALSE,target1,0,both-rel cmp,0,0,0,0,0
54,target-12,pos:rel-abs:a,pos,abs-rel,a,target-12-a-pos,2,Fri Aug 24 13:01:59 2018,5:4:2:1:3,4,cat-big_ladder:horse-med_ladder:horse-small_ladder:horse-med_lizard:cat-small_lizard,horse with the big [inaudible],,target,12,585849a944177c0001aacf8e,5,FALSE,target2,1,abs-rel pos,1,0,1,1,0
54,target-11,cmp:abs-both:b,cmp,abs-both,b,target-11-b-cmp,4,Fri Aug 24 13:02:11 2018,4:1:2:5:3,5,boy-big_cake:policewoman-med_carrot:boy-small_carrot:policewoman-med_cookie:policewoman-small_cookie,policewoman with the bigger [inaudible],,target,11,585849a944177c0001aacf8e,4,FALSE,target2,1,abs-both cmp,1,0,1,1,1
54,target-8,cmp:abs-both:a,cmp,abs-both,a,target-8-a-cmp,4,Fri Aug 24 13:02:21 2018,4:2:5:3:1,3,rabbit-big_car:bird-med_can:rabbit-small_can:bird-med_cup:bird-small_cup,bird in the bigger [inaudible],,target,8,585849a944177c0001aacf8e,3,FALSE,target2,1,abs-both cmp,1,0,1,1,1
